run,along-step-neutral,along-step-uniform-msc,annihil-2-gamma,brems-rel,brems-sb,conv-bethe-heitler,extend-from-primaries,extend-from-secondaries,geo-boundary,initialize-tracks,ioni-moller-bhabha,photoel-livermore,physics-discrete-select,pre-step,scat-klein-nishina,scat-rayleigh,tracking-cut,setup,total
0,7.342995733,23.552879288999968,0.022620458999999996,0.01766638800000003,0.14779814900000027,0.0503232799999999,0.02201818700000003,0.14023852099999973,0.9931335680000007,1.4879229940000043,0.057572734999999965,0.08924261699999968,0.05135973599999998,0.05886257500000002,0.04865360999999999,0.026870714000000007,0.009889408000000008,44.637736338,34.15117613
1,7.646585797999992,24.11193554900002,0.024796648000000008,0.02054370600000001,0.151560048,0.05378333399999991,0.026243694000000015,0.157050113,1.0878264400000013,1.5883181989999993,0.06220549599999997,0.09305392600000022,0.05457655499999996,0.0667927170000001,0.05710057900000009,0.029248020999999957,0.011794833999999975,44.585326533,35.280097682
2,6.999942626,23.207032851999987,0.02095549499999995,0.01596948700000001,0.14263056000000007,0.0490403189999999,0.018640306000000002,0.1278540589999998,0.9963875309999993,1.5101618539999997,0.06066000100000005,0.086552727,0.04853221199999999,0.052929047,0.04694182299999995,0.024901836000000028,0.00846168099999999,47.429885763,33.445042813
3,7.111416253000008,21.393974953000015,0.021377959999999994,0.01626494199999999,0.14511367699999989,0.04938593899999987,0.019798127000000006,0.12967936100000013,0.9792735950000009,1.4783601250000016,0.05410615199999996,0.08702049199999981,0.04820920299999994,0.05461523299999989,0.04656842299999993,0.025496921000000037,0.008998835000000009,44.370894586,31.697978109
4,7.071217967000001,23.185986245999974,0.02027716899999998,0.015665299000000004,0.1433674800000002,0.04825720699999998,0.017000789999999998,0.12240284699999984,0.9873895690000004,1.4665971010000007,0.052556974,0.08553002299999991,0.047149626,0.04981903400000005,0.04588086199999997,0.024413463999999965,0.008004006999999997,44.525312751,33.417211205
5,7.474134519000014,23.23938093599997,0.025034706999999958,0.021265757999999985,0.14998962499999985,0.0535091979999999,0.026597907000000042,0.15665696199999996,1.0575633470000017,1.496921912000002,0.06010378500000015,0.092436424,0.05405088299999995,0.06543821499999991,0.05029034599999991,0.029568049000000034,0.011890443999999995,44.388077472,34.10185517
6,6.996828894000006,23.439458288000033,0.024164664999999953,0.01957694800000002,0.15033519100000045,0.05304975099999986,0.023999398000000012,0.14630080600000017,0.973635157000001,1.4542293229999987,0.05852023699999992,0.09092104199999994,0.05138441099999997,0.06112530200000003,0.04987752399999996,0.02859110300000003,0.010781765999999995,44.305936688,33.666576411
7,7.462561105000005,22.824960850000032,0.02230615000000003,0.01807618000000001,0.14676730100000035,0.05097080700000003,0.02138858600000002,0.13688206600000008,1.0994674949999994,1.5105352320000012,0.056234382000000055,0.08891381100000008,0.0497550010000001,0.05712524100000006,0.049070291000000044,0.026501138000000028,0.009631994999999994,44.357667693,33.661574203
8,7.156360140000007,23.48797673800005,0.022029765000000007,0.01730613899999999,0.14432615999999995,0.05054913099999996,0.020907204000000023,0.13484278199999977,0.9679817600000005,1.476640734999999,0.05508890200000001,0.08778242500000005,0.04951843300000003,0.05587973299999995,0.04789732500000009,0.02608482000000005,0.009396594999999995,44.507929422,33.840298514
9,7.1837992690000005,22.784380219000013,0.021516025999999976,0.017637131999999996,0.14449606499999995,0.0495051939999999,0.02014992600000001,0.1325823599999999,0.9711545750000009,1.451945620999997,0.05472826300000006,0.08680018899999979,0.048656962000000026,0.054634794000000014,0.046488177000000006,0.02597336099999999,0.009144784999999996,44.90252054,33.132337777
