run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.011149518000000002,3.4124507050000017,1.6815120939999992,0.03552433700000003,0.422540153,0.04861426900000002,0.31955457199999987,0.3558359349999996,9.243783955999989,0.1409086160000001,0.01033408500000001,0.460908684,15.68891803
1,0.010689464000000013,3.4079930310000006,1.680423590999998,0.03493006099999995,0.42178980699999985,0.047826284000000024,0.31846558999999974,0.3559912749999996,9.236758360000007,0.13756945500000012,0.009890297999999995,0.463079543,15.668774237
2,0.010636441,3.4099153269999993,1.680211287000001,0.034794505999999996,0.42173642099999964,0.046570728999999984,0.3195310709999999,0.3552780490000004,9.237658188999994,0.13674534800000002,0.009828251999999999,0.463133454,15.669255641
3,0.010700854999999987,3.408835510999996,1.680449879,0.034820320999999994,0.42204722000000044,0.04705325500000004,0.3183972300000002,0.3548290249999998,9.239180720999999,0.137291453,0.009883571999999993,0.456806706,15.669900597
4,0.010772409000000002,3.4088314459999993,1.680460709999998,0.03526667999999996,0.4217995169999998,0.047163735999999956,0.3186492140000001,0.35523151100000006,9.240607386999988,0.13810192500000018,0.009970130999999997,0.45827828,15.67346709
5,0.010683602,3.4087919960000015,1.6794831810000022,0.03485968100000002,0.4216819930000001,0.04734304700000007,0.3185060640000001,0.35515240100000006,9.237638944999985,0.13716438799999994,0.009898748000000004,0.456292822,15.667706197
6,0.010659439000000007,3.410340968999994,1.6798220099999999,0.03475988100000002,0.4216781740000004,0.048390046000000006,0.3181263589999998,0.3550362650000005,9.23702883899999,0.13694940099999994,0.009787513000000006,0.463489197,15.668944486
7,0.010795662999999997,3.411606084999998,1.680751222,0.035053618,0.42205579500000046,0.047749204999999975,0.31864518000000003,0.354978673,9.240540708000015,0.13812467799999983,0.009958106999999992,0.458028536,15.676599087
8,0.010734294999999998,3.4081313529999986,1.6794865160000005,0.03488599100000004,0.42180664799999984,0.04716307599999998,0.318477629,0.3548137560000001,9.239258213000003,0.13733356,0.009849551999999985,0.451950515,15.668382365
9,0.010629533999999994,3.414667588,1.6797396789999994,0.03477163500000002,0.42179399400000017,0.04781399300000003,0.3182793140000002,0.3544590609999997,9.241505390000006,0.13667085100000015,0.009707796999999997,0.451814774,15.676465626
