run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.00822488299999999,2.1428993279999995,1.0470650570000004,0.028123914000000007,0.2563128869999999,0.03546803700000003,0.207682967,0.26190416500000024,1.1654777090000004,0.1024887740000001,0.007731489999999993,0.408891764,5.26832292
1,0.008869569999999997,2.144445422999999,1.0497586379999981,0.028830993000000017,0.2570789209999995,0.03708957900000003,0.20876961399999996,0.2624064469999996,1.1671478350000002,0.10627952000000002,0.008348534000000003,0.408068096,5.284460337
2,0.009106305000000004,2.1456127269999996,1.049441954000001,0.029145763000000043,0.2587664239999998,0.038502841999999995,0.2093815920000002,0.26291896200000026,1.1672040609999994,0.107804483,0.008585646000000004,0.412301403,5.29208871
3,0.008435615999999996,2.1426706800000015,1.048339660999999,0.028340579,0.2565653900000001,0.03564446899999999,0.20798176099999993,0.261891998,1.1662115040000007,0.10360055900000004,0.007942369999999992,0.408605581,5.272819098
4,0.00860195000000001,2.1471729639999992,1.0479767099999995,0.02857496499999997,0.25683124799999985,0.036500505000000044,0.20841703600000006,0.2634247840000006,1.166294174999997,0.10483469500000006,0.008138819999999996,0.407335201,5.282057026
5,0.008411452,2.1432482609999988,1.0467571619999985,0.028397773,0.2565323279999999,0.03564504599999999,0.2079159389999999,0.2623998569999999,1.1656912049999981,0.10352683699999997,0.007909483000000007,0.410586168,5.271531436
6,0.008234121000000007,2.1436056379999986,1.0468021789999995,0.02813608699999997,0.25643026200000024,0.03523048300000002,0.20777041999999976,0.26330528700000055,1.165692842,0.10238382000000004,0.007766473999999999,0.408178867,5.270346387
7,0.008441190000000003,2.1434772420000003,1.0471051270000011,0.028411197999999954,0.25664897200000014,0.03652441100000002,0.20801954799999986,0.2620784079999999,1.1662618289999993,0.103624846,0.007971496999999996,0.413463753,5.273673514
8,0.008340859999999999,2.142257022,1.047308583000001,0.028287049999999956,0.25651247099999963,0.035912723999999945,0.20784757300000004,0.26206715699999983,1.1654395310000005,0.10323608300000015,0.007868849,0.408800003,5.270120035
9,0.008247799999999998,2.144197700999998,1.0470544339999999,0.028119955000000002,0.2562623100000002,0.03539421400000002,0.20770212899999993,0.2618522930000006,1.1651671010000002,0.10269245699999993,0.007783311999999999,0.409662281,5.269400458
