Run 0
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 1
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 2
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 3
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 4
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 5
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 6
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 7
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 8
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
Run 9
kernel,num_regs,occupancy,local_mem
rng-reseed,104,0.25,0
primary-generate,128,0.25,144
pre-step,64,0.5,8
rayleigh,110,0.25,64
