run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.025658337000000017,10.093682463000022,2.3356965279999926,0.06942495199999983,0.5860273030000015,0.11965015200000005,0.671605594,5.026370422000002,9.951165229999997,0.3750869509999998,0.02381582799999996,0.587064986,29.296331703
1,0.026117731,10.093207673000002,2.3354211849999973,0.06986872999999999,0.5861249840000005,0.12057159699999993,0.6725538129999983,5.023763997999999,9.948675162999995,0.37712743699999957,0.024084014999999903,0.587869437,29.295960938
2,0.025716586999999957,10.085845179999989,2.3344631830000018,0.06938190199999991,0.5860540550000006,0.11948333699999998,0.671523042,5.029480043999995,9.950734352999982,0.37440991300000037,0.023655680999999984,0.590008627,29.289230676
3,0.025602241000000008,10.09421117399997,2.3348518620000047,0.06941333400000012,0.5857707840000008,0.11941281499999998,0.6717780319999997,5.027057247000004,9.949341218000006,0.37423348699999964,0.02361045799999998,0.579722774,29.29379472
4,0.02556371800000002,10.089171578000006,2.3348916060000002,0.06923445800000003,0.5855412670000002,0.11848811300000014,0.6716750550000001,5.022929433000011,9.950762399999991,0.37450459100000033,0.023632977000000027,0.586984832,29.284437164
5,0.02558233799999996,10.091677192000015,2.333889740999997,0.0693033889999999,0.5855612980000006,0.11928306200000008,0.6714323730000012,5.025707183000005,9.948232121000006,0.373783804,0.02362633700000002,0.585429219,29.285996447
6,0.025649974999999953,10.092924089000025,2.3345521120000017,0.06951270299999997,0.5859452499999996,0.11947503900000003,0.671651922999999,5.032799154999995,9.951994019999999,0.37499023199999915,0.02380527700000002,0.590182557,29.301290112
7,0.02559097899999998,10.090467065000013,2.3349920929999963,0.0694514689999999,0.5862653900000002,0.1199005599999999,0.6719546529999998,5.028894844999999,9.948410824000018,0.3749745669999988,0.02369287400000001,0.584941169,29.292886993
8,0.025695408000000003,10.09656912200001,2.3356758239999986,0.069783545,0.5858558479999999,0.11943102800000008,0.671845913,5.031920048000007,9.948695047999996,0.37527459000000074,0.023776411,0.589322026,29.302501491
9,0.02586888199999999,10.09746117699998,2.3352196700000065,0.06964850200000004,0.5864121749999998,0.1206327049999999,0.6723659500000004,5.037803494999988,9.951734557999995,0.37597016799999877,0.023889157999999997,0.586282581,29.315214964
run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.025658337000000017,10.093682463000022,2.3356965279999926,0.06942495199999983,0.5860273030000015,0.11965015200000005,0.671605594,5.026370422000002,9.951165229999997,0.3750869509999998,0.02381582799999996,0.587064986,29.296331703
1,0.026117731,10.093207673000002,2.3354211849999973,0.06986872999999999,0.5861249840000005,0.12057159699999993,0.6725538129999983,5.023763997999999,9.948675162999995,0.37712743699999957,0.024084014999999903,0.587869437,29.295960938
2,0.025716586999999957,10.085845179999989,2.3344631830000018,0.06938190199999991,0.5860540550000006,0.11948333699999998,0.671523042,5.029480043999995,9.950734352999982,0.37440991300000037,0.023655680999999984,0.590008627,29.289230676
3,0.025602241000000008,10.09421117399997,2.3348518620000047,0.06941333400000012,0.5857707840000008,0.11941281499999998,0.6717780319999997,5.027057247000004,9.949341218000006,0.37423348699999964,0.02361045799999998,0.579722774,29.29379472
4,0.02556371800000002,10.089171578000006,2.3348916060000002,0.06923445800000003,0.5855412670000002,0.11848811300000014,0.6716750550000001,5.022929433000011,9.950762399999991,0.37450459100000033,0.023632977000000027,0.586984832,29.284437164
5,0.02558233799999996,10.091677192000015,2.333889740999997,0.0693033889999999,0.5855612980000006,0.11928306200000008,0.6714323730000012,5.025707183000005,9.948232121000006,0.373783804,0.02362633700000002,0.585429219,29.285996447
6,0.025649974999999953,10.092924089000025,2.3345521120000017,0.06951270299999997,0.5859452499999996,0.11947503900000003,0.671651922999999,5.032799154999995,9.951994019999999,0.37499023199999915,0.02380527700000002,0.590182557,29.301290112
7,0.02559097899999998,10.090467065000013,2.3349920929999963,0.0694514689999999,0.5862653900000002,0.1199005599999999,0.6719546529999998,5.028894844999999,9.948410824000018,0.3749745669999988,0.02369287400000001,0.584941169,29.292886993
8,0.025695408000000003,10.09656912200001,2.3356758239999986,0.069783545,0.5858558479999999,0.11943102800000008,0.671845913,5.031920048000007,9.948695047999996,0.37527459000000074,0.023776411,0.589322026,29.302501491
9,0.02586888199999999,10.09746117699998,2.3352196700000065,0.06964850200000004,0.5864121749999998,0.1206327049999999,0.6723659500000004,5.037803494999988,9.951734557999995,0.37597016799999877,0.023889157999999997,0.586282581,29.315214964
