run,absorption,along-step,boundary-init,boundary-post,discrete-select,locate-vacancies,pre-step,primary-generate,rayleigh,surface-physics,tracking-cut,setup,total
0,0.025442388999999996,10.096635157999994,2.3308504699999992,0.07116088600000012,0.10534255199999981,0.11671878500000007,0.1953617850000002,1.9308818759999995,0.20881275799999982,0.2973898639999989,0.024405590000000015,0.618409653,15.421738941
1,0.02552788799999999,10.099466587000014,2.329833631000005,0.07111423100000021,0.1055022810000001,0.11693131000000011,0.19548254899999962,1.9275563000000007,0.20880587600000014,0.297370159,0.02439050299999999,0.605434435,15.420494411
2,0.025385048999999986,10.096065026999986,2.3300957509999973,0.07109011299999989,0.1052973390000002,0.11576314800000001,0.194802856,1.9305647390000027,0.20860229200000036,0.2965546760000002,0.024209993000000003,0.6144649,15.417055752
3,0.026101022000000005,10.098430702000012,2.3316661330000015,0.07173357500000015,0.10595226900000032,0.11880186200000006,0.1962943249999998,1.9334173370000005,0.2095235229999997,0.3017119539999998,0.024924895000000034,0.605850728,15.437552728
4,0.025467621999999975,10.09708974,2.330553460000001,0.07100502100000013,0.10556477100000027,0.1160665370000003,0.1950982769999996,1.9262916639999996,0.20904875099999964,0.2969361539999991,0.02427059400000003,0.617516584,15.415884576
5,0.025504596000000004,10.100004812000014,2.329228078000002,0.07125915700000007,0.10528825000000029,0.11755758000000015,0.19545280199999995,1.9316526859999974,0.20874598599999997,0.29763302299999955,0.024402429000000003,0.620086805,15.425324863
6,0.02539515299999997,10.099723987000017,2.329418399999998,0.07088585300000008,0.1052803759999999,0.116655853,0.19501726400000033,1.9323679599999992,0.20876026199999942,0.29636837399999927,0.024179472,0.611222712,15.422380399
7,0.025459151000000034,10.101625678999987,2.3297095759999955,0.07087626600000013,0.10565681100000011,0.11626690299999992,0.19494168899999967,1.9301710480000032,0.208664438,0.29608520999999943,0.02414895999999999,0.621760958,15.422180737
8,0.025351556,10.091773337999982,2.3303256639999974,0.07100994699999989,0.10564265500000014,0.11596869299999996,0.19533699800000004,1.9303339069999985,0.20884250299999965,0.2967368020000002,0.024217947999999965,0.610458126,15.414110351
9,0.025502058000000008,10.09955332199999,2.330985192,0.07119035100000015,0.10584788900000011,0.1168692669999999,0.19551826100000008,1.927128144000003,0.20925911699999986,0.2980891869999998,0.024367839,0.613014837,15.422933223
